#If you recreated this, remember to remove the last ',' in the file
INSERT INTO DISTRIBUTE(DISTRIBUTOR_NAME, COMPANY_NAME, SERIAL_CODE, DAYS_UNTIL_DELIVERY)VALUES 
( 'TopRx', 'Novo Nordisk', '202399774', '28' ),
( 'TopRx', 'Novo Nordisk', '202396577', '9' ),
( 'TopRx', 'Novo Nordisk', '202392900', '26' ),
( 'TopRx', 'Novo Nordisk', '202371769', '27' ),
( 'Vagos', 'Novo Nordisk', '202399869', '17' ),
( 'Vagos', 'Novo Nordisk', '202398215', '3' ),
( 'Vagos', 'Novo Nordisk', '202331613', '4' ),
( 'Vagos', 'Novo Nordisk', '202374926', '7' ),
( 'Vagos', 'Novo Nordisk', '202362425', '3' ),
( 'Vagos', 'Novo Nordisk', '202354645', '6' ),
( 'Vagos', 'Johnson n Johnson', '202397904', '21' ),
( 'Vagos', 'Johnson n Johnson', '202313640', '11' ),
( 'Vagos', 'Johnson n Johnson', '202388577', '5' ),
( 'Vagos', 'Johnson n Johnson', '202354555', '27' ),
( 'Vagos', 'Johnson n Johnson', '202398077', '16' ),
( 'Value Drug Company', 'Johnson n Johnson', '202387241', '12' ),
( 'Value Drug Company', 'Johnson n Johnson', '202304957', '21' ),
( 'Value Drug Company', 'Johnson n Johnson', '202383757', '6' ),
( 'Value Drug Company', 'Johnson n Johnson', '202345985', '19' ),
( 'Value Drug Company', 'Johnson n Johnson', '202322661', '25' ),
( 'Value Drug Company', 'Johnson n Johnson', '202383304', '30' ),
( 'Value Drug Company', 'Johnson n Johnson', '202303378', '21' ),
( 'Value Drug Company', 'Johnson n Johnson', '202331183', '20' ),
( 'Value Drug Company', 'Johnson n Johnson', '202323137', '8' ),
( 'Value Drug Company', 'Johnson n Johnson', '202350235', '22' ),
( 'Value Drug Company', 'Johnson n Johnson', '202370739', '16' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202387336', '5' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202329061', '6' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202307361', '20' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202359535', '12' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202369034', '20' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202390792', '1' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202392848', '28' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202380086', '9' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202390365', '25' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202324849', '20' ),
( 'Walgreens Boots Alliance', 'Johnson n Johnson', '202315293', '26' ),
;
